title,publication date,subject,journal,DOI,author,abstract,from_database,topics
"Mālama nā makua i nā keiki me ka hānō: Native Hawaiian Parents Caring for Their Children with Asthma, (Part 2)",,,,10.31372/20190403.1020,"{'given': 'May K.', 'family': 'Kealoha', 'sequence': 'first', 'affiliation': []}",,crossref,9
Is High Maternal Body Mass Index Associated with Cesarean Section Delivery in Mongolia? A Prospective Observational Study,,,,10.31372/20190403.1056,"{'given': 'Naoko', 'family': 'Hikita', 'sequence': 'first', 'affiliation': []}",,crossref,2
Hearing Screening in Primary School Children: An Overview,,,,10.21276/ijchmr.2016.2.2.04,"{'given': 'Mohit', 'family': 'Ojha', 'sequence': 'first', 'affiliation': []}",,crossref,9
Behavioral Screening Tests to Detect Hearing Loss in School Aged Children: A Review,,,,10.21276/ijchmr.2016.2.2.11,"{'given': 'Ratul', 'family': 'Dey', 'sequence': 'first', 'affiliation': []}",,crossref,9
Recasting the Past: An Early Modern “Tales of Ise” for Children by Laura Moretti,2081-01-01,Cultural Studies,,10.1353/mni.2081.0006,"{'given': 'Peter', 'family': 'MacMillan', 'sequence': 'first', 'affiliation': []}",,crossref,9
Levels of Interleukin 4 and Immunoglobulin E in Cord Blood Umbilical Mothers of Children of Allergic,,,,10.15406/moji.2016.04.00126,"{'given': 'Ligia A', 'family': 'Rodríguez A', 'sequence': 'first', 'affiliation': []}",,crossref,9
Problems of textuality of nonfiction works by V. M. Shukshin,2031-01-01,,,10.17223/18137083/55/10,"{'given': 'D. V.', 'family': 'Maryin', 'sequence': 'first', 'affiliation': []}",,crossref,1
"Sexual dimorphism in relationship of serum leptin and relative weight for the standard in normal-weight, but not in overweight, children as well as adolescents",,,,10.1038/sj/ejcn/1601257,"{'given': 'T', 'family': 'Nakanishi', 'sequence': 'first', 'affiliation': []}",,crossref,2
Attention Deficit Hyperactivity Disorder: Evidence-Based Assessment and Treatment for Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00029-7,"{'given': 'Julie Sarno', 'family': 'Owens', 'sequence': 'first', 'affiliation': []}",,crossref,2
Substance Use Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00034-0,"{'given': 'Sarah A.', 'family': 'Bilsky', 'sequence': 'first', 'affiliation': []}",,crossref,2
"L(2,2,1)-labelling problems on square of path",2022-01-01,General Engineering,,10.1504/ijaip.2022.10034134,"{'given': 'S.K.', 'family': 'Amanathulla', 'sequence': 'first', 'affiliation': []}",,crossref,1
Psychodynamic Therapy With Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00039-x,"{'given': 'Tatianna', 'family': 'Kufferath-Lin', 'sequence': 'first', 'affiliation': []}",,crossref,2
Specific Phobias in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00041-8,"{'given': 'Paige', 'family': 'Picou', 'sequence': 'first', 'affiliation': []}",,crossref,2
Outcome Findings and Issues in Psychotherapy With Children and Adolescents: Internalizing Disorders,2022-01-01,,,10.1016/b978-0-12-818697-8.00046-7,"{'given': 'Andres G.', 'family': 'Viana', 'sequence': 'first', 'affiliation': []}",,crossref,2
Somatic Symptom and Related Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00035-2,"{'given': 'Ditte Roth', 'family': 'Hulgaard', 'sequence': 'first', 'affiliation': []}",,crossref,2
Anxiety Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00040-6,"{'given': 'Lizel A.', 'family': 'Bertie', 'sequence': 'first', 'affiliation': []}",,crossref,2
Parent Training for Childhood Conduct Problems,2022-01-01,,,10.1016/b978-0-12-818697-8.00047-9,"{'given': 'Shaadee M.', 'family': 'Samimy', 'sequence': 'first', 'affiliation': []}",,crossref,1
Sleep Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00050-9,"{'given': 'Katrina M.', 'family': 'Poppert Cordts', 'sequence': 'first', 'affiliation': []}",,crossref,2
Psychopharmacology in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00048-0,"{'given': 'Malak', 'family': 'Abbas', 'sequence': 'first', 'affiliation': []}",,crossref,2
"Introduction. Growing Sideways, or Why Children Appear to Get Queerer in the Twentieth Century",2021-12-31,,,10.1515/9780822390268-002,,,crossref,9
1 Relevance and Conflict Problems,2021-12-31,,,10.1515/9781501743764-003,,,crossref,1
Co-Residence of Elderly Persons with Children and Grandchildren in Eastern and Southeast Europe,2021-12-31,,,10.14361/9783839445549-004,,,crossref,9
Appendix One. Children and Grandchildren,2021-12-31,,,10.1515/9780691208176-014,,,crossref,9
Chapter 1. I Could Never Have Been an Unnatural Father: Explaining the Discarded Children (ca. 1746–1778),2021-12-31,,,10.9783/9780812297805-003,,,crossref,9
Cutaneous manifestations in children with the new coronavirus infection COVID-19,,,,10.22363/2313-0245-2021-25-1-16-24,"{'given': 'O. B.', 'family': 'Tamrazova', 'sequence': 'first', 'affiliation': []}","<jats:p>In late 2019, a new viral infection appeared in China, which spread around the world, causing a pandemic. The causative agent of the new coronavirus infection COVID-19 is the SARS-CoV-2 coronavirus. The review presents modern data on the epidemiology, pathogenesis and course of the novel coronavirus infection COVID-19 in children. Chinese, American and European scientists have described a variety of cutaneous manifestations in children with COVID-19. The article provides a literature review of the cutaneous manifestations of COVID-19 coronavirus infection in children. During our own observation of 301 patients with coronavirus infection COVID-19 caused by SARS-CoV-2 at the Bashlyaevs Children Hospital in Moscow from May 17 to November 16, 2020, it was revealed that 39 (13 %) patients had skin manifestations. The article presents a classification of skin manifestations characteristic of COVID-19. A brief description of each group is given.</jats:p>",crossref,9
Nutritional assessment of children suffering from Autism,,,,10.19045/bspab.2021.100123,"{'given': 'Aniqa', 'family': 'Amjad', 'sequence': 'first', 'affiliation': []}",,crossref,2
