,title,publication date,subject,journal,DOI,author,abstract,from_database
702,Increasing diversity in gifted education: Research-based strategies for identification and program services,2015,,2015 - Sourcebooks,,"M Felder, G Taradash, E Antoine, MC Ricci, M Stemple…","… Stress among Gifted and Talented School Students … performance. The purpose of this
study was to determine the effect of intervention based on Dweck's mind set on academic
expectations stress among gifted and talented school students …",google_scholar
934,The effect of parenting choices on the academic success of gifted high school students,2009,,,https://search.proquest.com/openview/04bb4de98c11702e72cfdc96e5c86ec5/1?pq-origsite=gscholar&cbl=18750&diss=y,SL Lehtihalme,"… the children develop effective problem solving skills. A concern for the gifted student population
is the parental communication in developing a performance goal versus a learning goal … But that
involvement should include warmth, quality attachment, and reciprocity which …",google_scholar
659,Metaphorical Perceptions and Views of Teachers About Gifted and Talented Students and Their Education,,,,https://dergipark.org.tr/en/pub/cije/issue/50809/543321,"HG ORHAN-KARSAK, B GİDER","… Cognitive areas are developed. Psychomotor abilities of gifted children are more
developed … They have the skills of questioning, strong observation, independent
thinking, and attachment to people and objects by research …",google_scholar
730,Supporting young gifted children through transitioning from early childhood education to school,2019,,,https://ir.canterbury.ac.nz/handle/10092/100199,"J Dean, A Delaune","Page 1. Underachievement in Gifted Students: Understanding Perceptions of Educational … iii
Abstract Underachievement in gifted students is a problem often overlooked in the school system;
up to 50% of gifted students achieve below their potential abilities (Morisano & Shore …",google_scholar
932,… of Advanced Cognitive Ability on the Development of Psychological Defenses and in Understanding and Managing Affect: A Study of Latency-aged Gifted …,2014,,,http://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1373&context=gc_etds,KI Robinson,"… students. The areas of functioning to be explored in this study, along with variables such as
attachment classification, biological makeup and culture are among those that may also … complexity
of emotional life in gifted children. In addition, the continued contribution of EI …",google_scholar
369,"Big Five personality factors, perceived parenting styles, and perfectionism among academically gifted students",2014,,Asian Social Science,10.1.1.821.599&rep=rep1,"Z Basirion, R Abd Majid, ZM Jelas","… The different impact of fathers and mothers parenting styles on academically gifted students in
this study may partly be explained by the effect of maternal depression and attachment problems
on gifted children's socio-emotional adjustment (Wellisch, Brown, & Knight, 2012) …",google_scholar
453,… AÇISINDAN INCELENMESI*/INVESTIGATION OF THE RELATIONSHIP BETWEEN THE TERMS OF GIFTED CHILDREN'S ATTACHMENT STYLE AND LEADERSHIP …,2016,,Hasan Ali Yücel Egitim …,https://search.proquest.com/openview/a500454311c7496aaaa7d92a5222c38b/1?pq-origsite=gscholar&cbl=1796367,"A Gülbahçe, SK Çetinkaya…",The purpose of this study is to investigate the relationship between the attachment style and leadership skills of the gifted students at the Science and Art Center in terms of different kinds of variables. The universe of this study includes 153 gifted children who are educated …,google_scholar
609,The social-emotional well-being of the gifted child and perceptions of parent and teacher social support,2018,,,https://eprints.qut.edu.au/118198,KA Wright-Scott,"… Research question 5: How do parents and teachers of gifted children perceive their role to support
the SEWB of the gifted child both individually and through their … From an evolutionary perspective,
humans are the only social species with an attachment-instinct system …",google_scholar
696,"Differences in academic, affect, competence, and social self-concepts in homogeneously and heterogeneously grouped gifted students",2010,,,https://libres.uncg.edu/ir/wcu/f/hamm2010.pdf,CJ Hamm,"… (Gallagher, 1997). Psychosocial Implications for Gifted Students Peer relationships are an
important part of the psychosocial development of all … A study of college students found that
perceived attachment to peers or parents was positively correlated with academic …",google_scholar
911,Parental Influence on the Development of Gifted Asian American High School Students,1999,,,https://search.proquest.com/openview/33022f414600d151f1acd2a969555f12/1?pq-origsite=gscholar&cbl=2026366&diss=y,S Di,"'When we were very young': Experiences of young gifted children transitioning to a formal learning
environment … This thesis presents the findings of a study that investigated the cognitive, social
and emotional experiences of seven young gifted children as they adjusted to a …",google_scholar
