,title,publication date,subject,journal,DOI,author,abstract,from_database
0,[Children with high potential and difficulties: Contributions of clinical research].,2018-10-16,,L'Encephale,S0013-7006(18)30164-7,,"We have been sensitized to children with high intellectual potential (HIP) having difficulties given the number of children consulting in our outpatient medico-psychological centres for scholastic problems (possibly leading to school failure), anxiety disorders or behavioral disorders such as attention deficit/hyperactivity disorder (ADHD), and in which a high intellectual potential was discovered during psychological assessments. It is the contrast, and more precisely the paradox, between the high intellectual potential of these children and their scholastic difficulties (including school failure), and the psychic suffering expressed by some of them, which led us to question, challenge and propose therapeutic and educational care adapted to these children. It is in this context that we created in December 2005 the CNAHP (National Center for Assistance to High Potential children and adolescents) which is a public centre integrated into the hospital-university department of child and adolescent psychiatry at Rennes. It is noteworthy that not all children with HIP have difficulties, and children with school failure or behavioral problems are not always children with HIP. However, it is necessary not to minimize the problem raised by children with HIP with difficulties by ignoring its frequency or by considering that these children are ""intelligent"" enough to manage by themselves and do not need to be helped, whereas some of them can show school failure and even be de-scholarized. Indeed, based on the definition of the World Health Organization (WHO) of an intellectual Quotient (IQ) above 130 (level corresponding to a statistical threshold), the frequency of children with HIP represents 2.3% of the population of schoolchildren aged 6 to 16. The frequency is therefore not so rare. However, it remains to be determined by French epidemiological studies what is the actual frequency of children with difficulties within a population of children with HIP. The analysis of the CNAHP research data from a clinical population (children with HIP consulting for difficulties) highlights that children with HIP can show major school problems (including school failure, defined here as having or foreseeing repetition of a grade), which corresponds to 7.5% of 611 children with HIP consulting at the CNAHP) and socioemotional problems (emotional regulation disorders) in relation to their high intellectual potential. In particular, anxiety disorders were the most frequent psychiatric disorders observed in this population (40.5%) and were significantly associated with high verbal potential. This significant association requires further studies to avoid establishing a simplistic unidirectional and reductive linear cause-effect relationships. Indeed, a high verbal potential can elicit and/or reinforce anxiety-producing representations, but anxiety disorders may also lead to a defensive over investment of verbal language. The results are discussed in this article and suggest that scholastic and/or psychological difficulties encountered by some children with HIP can be related to their high intellectual potential. It is necessary to develop therapeutic and educational care adapted to these children from a better understanding, based on research results, of their possible difficulties but also cognitive abilities. Even when children with HIP have scholastic and/or psychological difficulties, some of their cognitive skills can be preserved contrary to appearances, with for example, as seen in the CNAHP results, excellent attentional capacities shown by cognitive tests contrasting with behavioral attention deficit reported by parents. These skills are important to identify as they are resources which support the therapeutic and educational project. It is probably through an articulation among professionals from national education, health and research, in alliance with the family (parents, child, and siblings), that advances will be made. In the same way that professionals have been interested in children with intellectual disabilities, it is important to be concerned by children with HIP and difficulties located at the other end of the continuum. It is a question of ethics which concerns both caregivers and teachers. It is also a societal issue that concerns all of us given that the expression of high intellectual and creative potential in children may be essential to the societal development of innovative strategies and each nation's future. Finally, the discussion can be extended to all children, independent of their potential. What we learn from children with HIP and difficulties can be applied to each child: it is important at family, school and societal levels to facilitate the expression of the potential of children, to value their skills, and to help them to remove possible inhibitions of their potential based on individualized projects. The acceptance of singularity and differences in children can contribute to tolerance and the development of creativity, in the interest of the subject and of society.",pubmed
1,"Wechsler profiles in referred children with intellectual giftedness: Associations with trait-anxiety, emotional dysregulation, and heterogeneity of Piaget-like reasoning processes.",2015-03-24,,European journal of paediatric neurology : EJPN : official journal of the European Paediatric Neurology Society,10.1016/j.ejpn.2015.03.006,,"It is common that intellectually gifted children (IQ ≥ 130) are referred to paediatric or child neuropsychiatry clinics for socio-emotional problems and/or school underachievement or maladjustment. Among them, those displaying developmental asynchrony - a heterogeneous developmental pattern reflected in a significant verbal-performance discrepancy (SVPD) on Wechsler's intelligence profile - are thought to be more emotionally and behaviourally impaired than others. Our purpose was to investigate this clinical dichotomy using a cognitive psychopathological approach.",pubmed
2,Behavioral profiles of clinically referred children with intellectual giftedness.,2013-07-10,,BioMed research international,10.1155/2013/540153,,"It is common that intellectually gifted children--that is, children with an IQ ≥ 130--are referred to paediatric or child neuropsychiatry clinics for socio-emotional problems and/or school underachievement or maladjustment. These clinically-referred children with intellectual giftedness are thought to typically display internalizing problems (i.e., self-focused problems reflecting overcontrol of emotion and behavior), and to be more behaviorally impaired when ""highly"" gifted (IQ ≥ 145) or displaying developmental asynchrony (i.e., a heterogeneous developmental pattern, reflected in a significant verbal-performance discrepancy on IQ tests). We tested all these assumptions in 143 clinically-referred gifted children aged 8 to 12, using Wechsler's intelligence profile and the Child Behavior Checklist. Compared to a normative sample, gifted children displayed increased behavioral problems in the whole symptomatic range. Internalizing problems did not predominate over externalizing ones (i.e., acted-out problems, reflecting undercontrol of emotion and behavior), revealing a symptomatic nature of behavioral syndromes more severe than expected. ""Highly gifted"" children did not display more behavioral problems than the ""low gifted."" Gifted children with a significant verbal-performance discrepancy displayed more externalizing problems and mixed behavioral syndromes than gifted children without such a discrepancy. These results suggest that developmental asynchrony matters when examining emotional and behavioral problems in gifted children.",pubmed
3,Teachers' implicit personality theories about the gifted: an experimental approach.,2013-01-28,,"School psychology quarterly : the official journal of the Division of School Psychology, American Psychological Association",10.1037/spq0000011,,"The implicit theories teachers hold about the gifted influence their perception of and behavior toward highly able students, thus impacting the latter's educational opportunities. Two persistent stereotypes about the gifted can be distinguished: the harmony hypothesis (gifted students are superior in almost all domains) and the disharmony hypothesis (giftedness implies maladaptive social behavior and emotional problems). The present study investigated whether teachers' implicit personality theories about the gifted are in line with the harmony or the disharmony hypothesis. Using an experimental vignette approach, we examined 321 prospective and practicing teachers' implicit personality theories (based on the big five personality framework) about students described along three dimensions (ability level, gender, and age, resulting in 8 different vignettes), controlling for teachers' age, gender, experience with gifted students, and knowledge about giftedness. Ability level had the strongest effect on teachers' ratings (partial η² = .60). Students described as gifted were perceived as more open to new experiences, more introverted, less emotionally stable, and less agreeable (all ps < .001). No differences were found for conscientiousness. Gender and its interaction with ability level had a small effect (partial η²s = .04 and .03). Thus, teachers' implicit personality theories about the gifted were in line with the disharmony hypothesis. Possible consequences for gifted identification and education are discussed.",pubmed
4,Methods of using household consumption and expenditures survey (HCES) data to estimate the potential nutritional impact of fortified staple foods.,,,Food and nutrition bulletin,,,"Micronutrient malnutrition, caused largely by inadequate dietary intake, is a global public health problem that adversely affects health, child growth and development, work capacity, and quality of life. Mass fortification of widely consumed edible products has the potential to increase micronutrient intakes and thus alleviate some nutritional deficiencies. Although individual-level data about food consumption patterns are ideal for informing the design of food fortification programs, they are often unavailable. Household Consumption and Expenditures Surveys (HCES) are nationally representative cross-sectional surveys conducted over a 12-month period every 2 to 5 years, primarily to characterize household expenditures.",pubmed
5,"Parent, teacher, and self perceptions of psychosocial functioning in intellectually gifted children and adolescents with autism spectrum disorder.",,,Journal of autism and developmental disorders,10.1007/s10803-010-0952-8,,"Parent, teacher, and self-perceptions of 54 high ability students with autism spectrum disorder (ASD) were assessed through administration of the Behavioral Assessment Scales for Children, Second Edition. Parent reports resulted in clinically elevated scores on the Atypicality, Attention Problems, Depression, Hyperactivity, Withdrawal, Activities of Daily Living, Adaptability, and Social Skills subscales, and teacher reports resulted in clinically elevated scores on the Atypicality, Depression, Withdrawal, and Adaptability subscales. Self-report scores were in the average range. Parents and teachers of adolescents reported greater adaptability and fewer symptoms of atypicality than parents and teachers of children. Psychosocial functioning appears impacted in high ability students with ASD and developmental differences in severity may exist.",pubmed
6,"[Self-esteem, self-centeredness and social-emotional adjustment of gifted children and adolescents].",2009-02-07,,L'Encephale,10.1016/j.encep.2008.10.006,,"There is an ongoing debate of how giftedness affects social-emotional adjustment. Self-esteem may be an indicator of social-emotional adjustment but insufficient in its explanatory capacity, especially high self-esteem which tends to produce opposite responses in regards to adjustment. A distinction between defensive and genuine high self-esteem could account for these results. In order to understand how self-esteem operates on social-emotional adjustment, it should be associated with other measurements relating to self-concern. In the Rorschach comprehensive system (CS), egocentricity index measures self-centeredness, which can be defined as the balance between self-concern and concern for others. High self-concern is associated with a neglect of the others. Operationalized here, as the interaction of high self-esteem and excessive self-concern, defensive high self-esteem should predict maladaptive outcomes.",pubmed
7,Sensory sensitivities of gifted children.,,,The American journal of occupational therapy : official publication of the American Occupational Therapy Association,,,Gifted children often display sensitivities to their environment that vary from those of the general population. Data were gathered on 6- to 11-year-old gifted children attending a public elementary school gifted program. Parents completed Dunn's (1999) Sensory Profile questionnaire regarding their child. Two primary analyses were conducted: (1) a comparison of the gifted children's sensory sensitivity with Sensory Profile norms and (2) an examination of the internal consistency of the Sensory Profile for the gifted sample. Gifted children were more sensitive to their environment and reacted with heightened emotional and behavioral responses than did children of average intelligence. Internal consistencies for the 14 Sensory Profile sections and the Sensory Profile factors for the gifted sample were found to be equal to the reported norms of the Sensory Profile. These findings further support that gifted children may have important sensory modulation differences and add to our understanding of gifted children.,pubmed
8,An evaluation of a behavioural parenting intervention for parents of gifted children.,2009-02-25,,Behaviour research and therapy,10.1016/j.brat.2009.02.008,,"Parents of gifted children identify a need for tailored parenting support, and gifted children have unique requirements and vulnerabilities. The aim of this study was to assess the efficacy of a tailored behavioural parenting intervention, for enhancing the parenting skills of parents of gifted children and to assess the effect of these changes on the behavioural and emotional adjustment of their gifted child. A randomised controlled trial of tailored Group Triple P - Positive Parenting Program was conducted with 75 parents of children identified as gifted. Results indicated significant intervention effects for the number and frequency of parent reported child behaviour problems, as well as hyperactivity in the intervention group, relative to a waitlist control. Parents also reported significant improvements in their own parenting style, including less permissiveness, harshness, and verbosity when disciplining their child. No intervention effects were evident for teacher reports, except for a trend in relation to hyperactivity. This study demonstrated that a tailored behavioural parenting intervention is effective and acceptable for parents of gifted children, and thus has clinical implications for the delivery of parenting interventions for this population.",pubmed
9,Parenting gifted and talented children: what are the key child behaviour and parenting issues?,,,The Australian and New Zealand journal of psychiatry,10.1080/00048670802277271,,"The literature on gifted and talented children is limited. Little is known about the types and nature of difficulties experienced by gifted and talented children, and even less known about parenting issues related to parenting a gifted and talented child. The aim of the present study was to describe children's behavioural and emotional adjustment, and the factors that contribute to children's difficulties, as well as to examine the styles of discipline used by parents of gifted and talented children and their level of confidence in managing specific parenting tasks.",pubmed
