,title,publication date,subject,journal,DOI,author,abstract,from_database,publication_date
0,THE ROLE OF GENDER ON ENTREPRENEURIAL INTENTION AMONG STUDENTS: AN EMPIRICAL TEST OF THE THEORY OF PLANNED BEHAVIOR IN A GREEK UNIVERSITY,2114-12-10,,,10.15556/ijiim.01.02.005,"{'given': 'Alexandros', 'family': 'Sahinidis', 'sequence': 'first', 'affiliation': []}",,crossref,
1,"Mālama nā makua i nā keiki me ka hānō: Native Hawaiian Parents Caring for Their Children with Asthma, (Part 2)",,,,10.31372/20190403.1020,"{'given': 'May K.', 'family': 'Kealoha', 'sequence': 'first', 'affiliation': []}",,crossref,
2,Is High Maternal Body Mass Index Associated with Cesarean Section Delivery in Mongolia? A Prospective Observational Study,,,,10.31372/20190403.1056,"{'given': 'Naoko', 'family': 'Hikita', 'sequence': 'first', 'affiliation': []}",,crossref,
3,"Geographical distribution of Corydoras micracanthus Regan 1912 (Siluriformes: Callichthyidae), with comments on its behavior and type locality.",2108-01-01,,,10.22179/revmacn.20.482,"{'given': 'Felipe', 'family': 'Alonso', 'sequence': 'first', 'affiliation': []}",,crossref,
4,Hearing Screening in Primary School Children: An Overview,,,,10.21276/ijchmr.2016.2.2.04,"{'given': 'Mohit', 'family': 'Ojha', 'sequence': 'first', 'affiliation': []}",,crossref,
5,Behavioral Screening Tests to Detect Hearing Loss in School Aged Children: A Review,,,,10.21276/ijchmr.2016.2.2.11,"{'given': 'Ratul', 'family': 'Dey', 'sequence': 'first', 'affiliation': []}",,crossref,
6,Recasting the Past: An Early Modern “Tales of Ise” for Children by Laura Moretti,2081-01-01,Cultural Studies,,10.1353/mni.2081.0006,"{'given': 'Peter', 'family': 'MacMillan', 'sequence': 'first', 'affiliation': []}",,crossref,
7,Levels of Interleukin 4 and Immunoglobulin E in Cord Blood Umbilical Mothers of Children of Allergic,,,,10.15406/moji.2016.04.00126,"{'given': 'Ligia A', 'family': 'Rodríguez A', 'sequence': 'first', 'affiliation': []}",,crossref,
8,Problems of textuality of nonfiction works by V. M. Shukshin,2031-01-01,,,10.17223/18137083/55/10,"{'given': 'D. V.', 'family': 'Maryin', 'sequence': 'first', 'affiliation': []}",,crossref,
9,The potential of near infra-red interactance for predicting body composition in children,,,,10.1038/sj/ejcn/1601253,"{'given': 'N J', 'family': 'Fuller', 'sequence': 'first', 'affiliation': []}",,crossref,
10,"Sexual dimorphism in relationship of serum leptin and relative weight for the standard in normal-weight, but not in overweight, children as well as adolescents",,,,10.1038/sj/ejcn/1601257,"{'given': 'T', 'family': 'Nakanishi', 'sequence': 'first', 'affiliation': []}",,crossref,
11,An Introduction to String Theory and D-Brane Dynamics,2022-09-01,,,10.1142/q0006,"{'given': 'Richard J', 'family': 'Szabo', 'sequence': 'first', 'affiliation': [{'name': 'Heriot-Watt UniversityUK'}]}",,crossref,
12,Numerical Solution of the Schrödinger Equation,2022-06-01,,,10.1142/p470,"{'given': 'Theodore E', 'family': 'Simos', 'sequence': 'first', 'affiliation': [{'name': 'University of PeloponneseGreece'}]}",,crossref,
13,Problems and Solutions for MRCP Nephrology,2022-02-01,,,10.1142/p754,"{'given': 'Neil', 'family': 'Sheerin', 'sequence': 'first', 'affiliation': [{'name': 'Newcastle UniversityUK'}]}",,crossref,
14,Lecture Notes on Turbulence,2022-02-01,,,10.1142/p915,"{'given': 'Pierre', 'family': 'Sagaut', 'sequence': 'first', 'affiliation': [{'name': 'Université Pierre et Marie Curie — Paris 6France'}]}",,crossref,
15,Grain-size Effects on Mechanical Behavior and Failure of Dense Cohesive Granular Materials,2022-01-10,General Engineering,,10.14356/kona.2022001,"{'given': 'Payam', 'family': 'Poorsolhjouy', 'sequence': 'first', 'affiliation': [{'name': 'Department of the Built Environment, Eindhoven University of Technology, The Netherlands'}]}",,crossref,
16,Attention Deficit Hyperactivity Disorder: Evidence-Based Assessment and Treatment for Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00029-7,"{'given': 'Julie Sarno', 'family': 'Owens', 'sequence': 'first', 'affiliation': []}",,crossref,
17,Substance Use Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00034-0,"{'given': 'Sarah A.', 'family': 'Bilsky', 'sequence': 'first', 'affiliation': []}",,crossref,
18,Research On The Detection Of Privacy Information Sharing Behavior Of e-Commerce Users Based On Big Data,2022-01-01,Electrical and Electronic Engineering,,10.1504/ijaacs.2022.10031370,"{'given': 'YingJi', 'family': 'Li', 'sequence': 'first', 'affiliation': []}",,crossref,
19,Psychodynamic Therapy With Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00039-x,"{'given': 'Tatianna', 'family': 'Kufferath-Lin', 'sequence': 'first', 'affiliation': []}",,crossref,
20,Specific Phobias in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00041-8,"{'given': 'Paige', 'family': 'Picou', 'sequence': 'first', 'affiliation': []}",,crossref,
21,Outcome Findings and Issues in Psychotherapy With Children and Adolescents: Internalizing Disorders,2022-01-01,,,10.1016/b978-0-12-818697-8.00046-7,"{'given': 'Andres G.', 'family': 'Viana', 'sequence': 'first', 'affiliation': []}",,crossref,
22,Somatic Symptom and Related Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00035-2,"{'given': 'Ditte Roth', 'family': 'Hulgaard', 'sequence': 'first', 'affiliation': []}",,crossref,
23,Anxiety Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00040-6,"{'given': 'Lizel A.', 'family': 'Bertie', 'sequence': 'first', 'affiliation': []}",,crossref,
24,Health Behavior,2022-01-01,,,10.1016/b978-0-12-818697-8.00060-1,"{'given': 'Mark', 'family': 'Conner', 'sequence': 'first', 'affiliation': []}",,crossref,
25,Factitious Disorder in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00056-x,"{'given': 'Giana L.', 'family': 'Angotti', 'sequence': 'first', 'affiliation': []}",,crossref,
26,"L(2,2,1)-labelling problems on square of path",2022-01-01,General Engineering,,10.1504/ijaip.2022.10034134,"{'given': 'S.K.', 'family': 'Amanathulla', 'sequence': 'first', 'affiliation': []}",,crossref,
27,"The Effect of Experience Quality on Behavior Intention: The Mediating Role of Tourists Perceived Value in Subak Cultural Landscape of Bali, Indonesia",2022-01-01,Strategy and Management,,10.1504/ijbsr.2022.10035467,"{'given': 'Diana', 'family': 'Sari', 'sequence': 'first', 'affiliation': []}",,crossref,
28,Study on the seismic behavior of upper masonry floor with variable stiffness for multi-story brick structures with bottom-frame based on finite element simulation,2022-01-01,General Energy,,10.1504/ijcis.2022.10035310,"{'given': 'Canbin', 'family': 'Yin', 'sequence': 'first', 'affiliation': []}",,crossref,
29,Parent Training for Childhood Conduct Problems,2022-01-01,,,10.1016/b978-0-12-818697-8.00047-9,"{'given': 'Shaadee M.', 'family': 'Samimy', 'sequence': 'first', 'affiliation': []}",,crossref,
30,Sleep Disorders in Children and Adolescents,2022-01-01,,,10.1016/b978-0-12-818697-8.00050-9,"{'given': 'Katrina M.', 'family': 'Poppert Cordts', 'sequence': 'first', 'affiliation': []}",,crossref,
