,no,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
684,1142,The roots of creativity.,,,American journal of psychoanalysis,,,"The various factors which seem to be important in the creative child with extraordinary potential include: A good biologic endowment, often with high intelligence and a correlation between special sensory sensitivities and other physical requirements to implement the special interest. There is also sometimes the capacity to utilize or else compensate for deficit. The fostering of interests by a parent or interested adult. Specific kinds of ongoing encouragement. Sometimes there is self-selection of interest by the child. The child must feel valued and loved. The family background and relationship of parents centers on the child. The time, place, and institutions foster the development of interest and value of the work and the child's belief in its value. The child is allowed freedom of development, without undue inhibition or restriction. Creative people have shown uneven development--the child is not ""age-specific"" generally. Gifted children have been observed to tolerate isolation and even loneliness well--these are often necessary conditions for developing skills. For some creative people, early object losses seem to be frequent. The creative child is curious and a keen observer. The creative child has an uncanny ability to make connections--to perceive similarities in the apparently dissimilar. The creative child is not hampered by conventional thought. The creative child has a capacity for love and devotion--or at least a positive orientation; a spiritness or passion; and a spirituality or unworldliness. It has been said that the poetic truths in a work of art are only half understood by its creator. Generally conveyed subliminally, these truths are revealed in different ways to different audiences at different times. Such is the view of William Livingstone (1987), and considering the childhood antecedents of creative work helps to understand why this is so.",pubmed,0.9999999999999999
914,1372,Gifted adolescents: An analysis of their psychosocial development.,,,Journal of youth and adolescence,10.1007/BF02092110,,"A model for viewing adolescent psychosocial development is outlined. The model assumes that basic changes in adolescents' biological, cognitive, and social capacities reciprocally interact with the social settings of the family, peer group, and school/work to influence transformations in six areas of psychosocial development (attachment, friendship, sexuality, achievement, autonomy, and identity). The model is then used as a framework for reviewing literature regarding gifted adolescents' psychosocial adjustment. On the whole, the literature provides a positive view of the psychosocial adjustment of gifted adolescents. While adjustment problems seem to exist in certain areas (e.g., friendship), unequivocal conclusions cannot be drawn because of methodological limitations and the narrow scope of existing research. ",pubmed,0.9453188999853317
4125,4583,"Childhood celebrity, parental attachment, and adult adjustment: the young performers study.",,,Journal of personality assessment,,,"The associations between celebrity, parental attachment, and adult adjustment were examined among 74 famous, former young performers in television and film. As adults, former young performers whose parents served as their professional managers viewed their mothers as less caring and more overcontrolling than did performers whose parents were not their managers. Other factors affecting the quality of the parent-child relationship included dissatisfaction with money management, poor peer support, the perception that involvement in acting was determined by others, and the specific nature of professional experience. Together, these variables accounted for 59% of the variance in perceived caring and 40% of the variance in perceived autonomy support. The relation could not be attributed to a generalized response bias, as attachment was unrelated to degree of positive thinking. A Celebrity x Parental Attachment interaction indicated that the quality of the parent-child relationship moderated the effects of celebrity on adult adjustment: Among participants with good parental attachment, there was no relation between professional experience and adjustment; however, among participants with poor attachment, this relation was strong. Possible implications for parenting child actors and analogous populations of talented children in high-stress arenas are discussed.",pubmed,0.9304310229018068
2422,2880,Imaginary companions in adolescence: sign of a deficient or positive development.,,,Journal of adolescence,,,"The present study was designed to find out to what extent imaginary companions are created in the diaries of adolescents. A total of 241 adolescents aged 12 to 17 years were investigated to determine the incidence as well as the characteristics and functions of such fictitious individuals in this age group. Content analysis of data obtained from questionnaires revealed that the imaginary companion was similar to the writer in many aspects. The imaginary companion supported the adolescent during the process of developing his/her identity. The relative influence of self-concept, creativity, role-taking ability, coping behavior, and egocentrism was then investigated using a hierarchical regression model. Three hypotheses were tested: (1) the deficit hypothesis, i.e. only adolescents with a deficit in social interaction create an imaginary companion, (2) the giftedness hypothesis, i.e. especially creative adolescents invent such a companion and (3) the egocentrism hypothesis, i.e. the construction of an imaginary companion is the result of perceived uniqueness and related to personal fable and imaginary audience behaviour. The results showed that the imaginary companion was not the result of an egocentric orientation, and by no means was a substitute for other trustworthy partners such as family members or friends. On the contrary, socially competent and creative adolescents with good coping abilities were particularly prone to create such a ""very special friend"".",pubmed,0.8978001344532199
1915,2373,[Link between depression and academic self-esteem in gifted children].,,,L'Encephale,,,"Studies of the psychology of gifted children frequently refer to their relatively immature affective development in terms of their intellectual capacities and the relational difficulties they experience with regard to their peers, teachers, close acquaintances and sometimes their parents. From a psychopathological viewpoint, various types of problem have been observed such as depressive symptoms, motor instability coupled with hyperactivity, attentional deficits, impulsivity and a fall in self-esteem.",pubmed,0.8923011685277141
704,1162,The human mind: building bridges between neuroscience and psychiatry.,,,Psychiatry,,,"This essay proposes the existence of four unique behavioral characteristics that distinguish Homo sapiens from its nearest evolutionary kin, the great apes. These are inventiveness, capacity for language, curiosity, and self-reflection or self-analysis. Some would counterargue that none of these features are ""unique"" to humans. Examples would be given of animal ""intelligence"" involving at times surprising problem-solving abilities. Even ""conversations"" between humans and parrots might be cited. However, this is to misunderstand what the focus is in the article. This is not a thesis on the continuity or discontinuities of evolution. Every well-trained biologist learns about evolution and understands that the most complex human traits have some hint of related traits in nearest relatives. Rather, the emphasis of this article has been to select and emphasize certain distinctive aspects of human behavior that are the most important features distinguishing human ""uniqueness."" Uniqueness may be quantified by the number and complexity of processes within the four attributes presented in this article. While this may be an interesting mathematical exercise, the author would rather take it for granted that the outcome would be that humans are significantly more complex in each of the four features referred to than the great apes. For those in the mental health field, one would hope that this overview of the most highly evolved systems in human brain may provide a useful framework where creative therapeutic processes can be applied to the ultimate beneficiary, the client or patient. This article proposes that psychosis can be considered the impossibility of conflict resolution among the special neuronal assemblies that separately mediate feelings of attachment versus abandonment, security versus anxiety, calmness versus anger, fulfillment versus helplessness, and satisfaction of sexual needs. Given this model, the role of the therapist is to consider whether the client is in touch with the various equilibrium points in their current life situation or crisis. A questionnaire designed to help access information on these internal states may work better than an oral interview because it forces the client to reflect. How much conflict does the client feel in sorting out personal priorities? Does the client have any practice at resolving internal conflicts? If unpracticed, is the client likely to act out in destructive ways to self or others to resolve the pressure of internal conflicts? I am sure that we can all think of current well-publicized destructive acts in which one has to wonder precisely what model of mind the psychotherapists were using to assist the client. At a higher level, each human has the potential to be creative. Whether expressed as curiosity about the universe and nature or inventiveness, as in improving the quality of one's life or by the use of gifted language as in art and music, the therapist needs to determine how to assist the client into these kinds of self-defined fulfillments, which one hopes will reduce the other tensions of conflict resolution. There is no doubt that the journey for both the client and therapist will be challenging. Ultimately, the journey is the reward for both the client and therapist. In closing, the following quotation seems appropriate. Sydney Brenner (2002), a pioneer in molecular biology, reviewed a current book on the Science, Politics, and Ethics of the Human Genome Project (Sulston and Ferry 2002). He states, ""What I found interesting in the account is that Sulston doesn't tell us anything about the genomes he has sequenced. What did he find there that excited him? What did he learn about genes, about life, about evolution, about worlds to come? It is the play of Hamlet without Hamlet"" (p. 794).",pubmed,0.8550654580383296
1083,1541,Some observations on psychotherapy and creativity.,,,Adolescent psychiatry,,,,pubmed,0.8524750883753236
3412,3870,Experiences within a borderline syndrome.,,,International journal of psychoanalytic psychotherapy,,,"This paper provides an experiential view of a borderline syndrome and its psychotherapy. In a letter to her therapist a gifted patient speaks of the symptoms and treatment of her illness. This provides the basis for studying the precipitous transference relationships in borderline patients and the urgent need in these patients for clarity and dependability from their therapists. Common fears of being ""set adrift"" by psychotherapy are contrasted to the characteristic tenacity of the patient-therapist bond. A review of the patient's life allows the reader to evaluate the clinical applicability of her insights. The letter's multiple communicative functions illustrate some of the qualities of the object relations sought by borderline personalities, and stress is placed upon the sublimatory aspect of such letters and the prognostic importance of the capacities for sublimation.",pubmed,0.8432228339565843
522,980,The Intervening Role of Alexithymia in the Relationship between Attachment Styles and Test Anxiety among Gifted High School Students.,2015-07-17 00:00:00,,Korean journal of family medicine,10.4082/kjfm.2015.36.4.174,,"Given the importance of test anxiety among gifted students, the present study was conducted to assess the intervening role of alexithymia in the relationship between test anxiety and attachment styles.",pubmed,0.8159421868723845
217,675,The princess in the tower: Zelda Fitzgerald's creative impasse.,,,Journal of the American Psychoanalytic Association,,,"Gifted women often find it difficult to integrate an acceptable social image with an autonomous artistic identity. This paper explores the ambitions and conflicts of Zelda Fitzgerald, who aspired to be an artist in several fields, but whose fame is largely contingent on the role she played in the life of her husband, F. Scott Fitzgerald. Zelda's flamboyant public pose, which served as a model for many of her husband's literary characters, is interpreted as an attempt to organize a consistent identity configuration by means of constant appeals for applause from an admiring audience. But although this configuration provided some stability and cohesion for her during her twenties, it was a superficial and vulnerable structure which failed to support her serious artistic aspirations. An examination of the separation conflicts and difficulties in internalization which contributed to Zelda's dilemma leads to a consideration of the role of the father in the organization of differentiated female achievements. Although Zelda Fitzgerald's pathology was extreme, her struggles suggest useful insights into the intrapsychic and social barriers commonly confronting creative women.",pubmed,0.7717906199098659
