,Unnamed: 0,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
2363,2596,Using Rasch measurement theory to assess three depression scales among adults with epilepsy.,2012-05-18 00:00:00,,Seizure,10.1016/j.seizure.2012.04.009,Elizabeth Reisinger Walker,"People with chronic conditions, such as epilepsy, are at a high risk for depression; however depression is often under-recognized and undertreated. Depression scales, including one specific to people with epilepsy, have been used for screening in this population, although none have been assessed with Rasch measurement theory. This study used Rasch analyses in order to evaluate and compare the psychometric properties of the modified Beck Depression Inventory, the Patient Health Questionnaire, and the Neurological Disorders Depression Inventory for Epilepsy in a sample of people with epilepsy and depression who participated in an intervention designed to reduce depressive symptoms. A secondary purpose was to assess item functioning across time. The sample includes 44 participants in the Project UPLIFT program who completed the assessments before and after taking part in the intervention. Results of the Rasch analysis indicate that the three depression scales functioned as intended. There was good overall targeting between the items and the sample, acceptable model-data fit, and good reliability of separation for persons, items, and time. The participants experienced a significant decrease in depressive symptoms from pretest to posttest. This study illustrates the value of using model-based measurement with the Rasch model to combine items across the three depression scales. It also demonstrates an approach for analyzing and evaluating the results of small scale intervention programs, such as the UPLIFT program.",pubmed,0.9999999999999999
640,707,The Adults and Older Adults Functional Assessment Inventory: A Rasch Model Analysis.,2014-12-23 00:00:00,,Research on aging,10.1177/0164027514564469,Liliana B Sousa,"Functional assessment methods are an important element in multidimensional neuropsychological evaluations, particularly in older adults. The Adults and Older Adults Functional Assessment Inventory is a new measure of basic and instrumental activities of daily living. Rasch model analyses were used to analyze the psychometric characteristics of the instrument in a sample of 803 participants. The original categories did not provide an optimal assessment of functional incapacity. The scale was dichotomized to achieve a better reliability score and item fit. The final 50 items revealed a moderately high variability in item difficulty, acceptable fits to items and persons, and a good Person Separation Reliability score. The scores were able to discriminate between normal controls and clinical patients. None of the items showed Differential Item Functioning associated with age, gender, or education. The instrument is able to achieve measures of functional incapacity with the useful properties of the Rasch model. ",pubmed,0.9748374327139853
4060,4458,Creating a brief rating scale for the assessment of learning disabilities using reliability and true score estimates of the scale's items based on the Rasch model.,2011-06-17 00:00:00,,Journal of learning disabilities,10.1177/0022219411407924,Georgios Sideridis,"The purpose of the present studies was to provide the means to create brief versions of instruments that can aid the diagnosis and classification of students with learning disabilities and comorbid disorders (e.g., attention-deficit/hyperactivity disorder). A sample of 1,108 students with and without a diagnosis of learning disabilities took part in study 1. Using information from modern theory methods (i.e., the Rasch model), a scale was created that included fewer than one third of the original battery items designed to assess reading skills. This best item synthesis was then evaluated for its predictive and criterion validity with a valid external reading battery (study 2). Using a sample of 232 students with and without learning disabilities, results indicated that the brief version of the scale was equally effective as the original scale in predicting reading achievement. Analysis of the content of the brief scale indicated that the best item synthesis involved items from cognition, motivation, strategy use, and advanced reading skills. It is suggested that multiple psychometric criteria be employed in evaluating the psychometric adequacy of scales used for the assessment and identification of learning disabilities and comorbid disorders.",pubmed,0.9020413358458221
3628,3979,Measuring global functioning in older adults with cognitive impairments using the Rasch model.,2020-11-23 00:00:00,,BMC geriatrics,10.1186/s12877-020-01886-0,Rocco Palumbo,"Cognitive and functional measures are often measured and interpreted separately during the clinical evaluation of patients with cognitive impairment. This can sometimes lead to a challenging interpretation when measures do not show concordance, especially after a clinical intervention. In this study, the development and evaluation of a new approach, using the Rasch model, that combines cognitive and functional measures in one single and more powerful measure (compared to stand-alone tests) to assess global functioning in older adults with cognitive impairment (including dementia) was presented.",pubmed,0.8802144303087143
3449,3788,Psychometric properties of the Montreal Cognitive Assessment (MoCA): an analysis using the Rasch model.,2014-01-10 00:00:00,,The Clinical neuropsychologist,10.1080/13854046.2013.870231,Sandra Freitas,"In the present study we analyzed the psychometric characteristics of the MoCA (Portuguese version) using the Rasch model for dichotomous items. The total sample comprised of 897 participants distributed between two main subgroups: (I) healthy group that was comprised of 650 cognitively healthy community dwellers and (II) clinical group that was comprised of 90 patients with Mild Cognitive Impairment, 90 patients with Alzheimer's disease, 33 patients with frontotemporal dementia, and 34 patients with vascular dementia recruited at a reference dementia clinic. All patients were investigated through a comprehensive neuropsychological assessment, laboratory tests essential to exclude a reversible form of dementia, imaging studies (CT or MRI and SPECT or FDG-PET), Apolipoprotein E allele genotyping and CSF biomarker (Aβ42,Tau, and P-tau) analyses. The clinical diagnosis was established through the consensus of a multidisciplinary team, based on international criteria. The results demonstrated an overall good fit of both items and the person's values, a high variability on cognitive performance level, and a good quality of the measurements. The MoCA scores also demonstrated adequate discriminant validity, with high diagnostic value. DIF analyses indicated the generalized validity of the MoCA scores. In conclusion, the results of this study show the overall psychometric adequacy of the MoCA and verify the discriminant and generalized validity of the obtained results. ",pubmed,0.8459413911141401
4160,4565,Outcome measures of antidepressive therapy.,,,Acta psychiatrica Scandinavica. Supplementum,,R Rosenberg,"A variety of outcome measures assessing antidepressive therapy are available. However, in randomized clinical trials, the Hamilton Rating Scale for Depression (HAM-D) is often the primary outcome measure. Results from factor analysis and Rasch item analysis indicate that the HAM-D is heterogeneous and that the sum of items scores may not be an adequate measure of the severity of depression. A Melancholia Scale of 11 items has been suggested as a more valid measure of the core symptoms of affective syndrome. Other global outcome measures, focusing on health-related quality of life issues and on social functioning as well as macro-economic analyses are also used in depression. Applying stringent and well-documented outcome measures in randomized clinical trials of antidepressants may give the clinician a better indication of the most appropriate drug for treatment of the individual patient.",pubmed,0.8415548552853562
4740,5199,The Hamilton depression scale. Evaluation of objectivity using logistic models.,,,Acta psychiatrica Scandinavica,,P Bech,"The consistency of the Hamilton Depression Scale (HDS) as a measure of the severity of depressive states has been examined when the scale was used weekly during a trial when imipramine. By use of logistic models (Rasch) the consistency of the HDS has been considered across patient-variables as age, sex, plasma levels of imipramine, and diagnosis. The results showed that the original 17-item HDS was without adequate consistency, i.e. the total score of the sample of items was no one-dimensional measure of depressive states. However, a melancholia subscale of the HDS contained items the total of which can be used to compare patients quantitatively, although in some part of the analysis one of these items showed ceiling effect. It was concluded that the melancholia subscale (containing the items depressed mood, guilt, work and interests, retardation, psychic anxiety, and general somatic symptoms) can form the basis for further improvements in the field of quantitative rating scales for depressive states.",pubmed,0.8294866632015242
2154,2369,Measuring sexual risk for HIV: a Rasch scaling approach.,2008-06-13 00:00:00,,Archives of sexual behavior,10.1007/s10508-008-9385-2,Michael Fendrich,"In this study, we developed an HIV transmission risk scale and examined its psychometric properties using data on sexual behavior obtained from a probability sample of adult men who have sex with men living in Chicago. We used Messick's (Am Psychol 50:741-749, 1995) conceptualization of unified validity theory to organize the psychometric properties of data. Evidence related to scale content was investigated via Rasch item fit statistics, point-measure correlations, and expert evaluation. The substantive aspect of validity was addressed by interpreting the meaningfulness of the item difficulty hierarchy (continuum of risky behaviors) and assessment of person fit. The structural aspect of validity was assessed using Rasch item fit statistics, principal component analysis of standardized residuals, and other residual analyses. The generalizability aspect of validity was investigated via internal consistency reliability estimates for both items and persons, and aspects of external validity were addressed by examining between-group differences with respect to levels of risky behavior. Applications and suggested future studies are discussed.",pubmed,0.8294154580373788
687,758,An item response theory evaluation of three depression assessment instruments in a clinical sample.,2012-06-21 00:00:00,,BMC medical research methodology,10.1186/1471-2288-12-84,Mats Adler,"This study investigates whether an analysis, based on Item Response Theory (IRT), can be used for initial evaluations of depression assessment instruments in a limited patient sample from an affective disorder outpatient clinic, with the aim to finding major advantages and deficiencies of the instruments.",pubmed,0.8252539161931992
2346,2578,Dimensional assessment of depressive severity in the elderly general population: psychometric evaluation of the PHQ-9 using Rasch Analysis.,2013-02-12 00:00:00,,Journal of affective disorders,10.1016/j.jad.2012.12.019,Thomas Forkmann,"The depression module of the Patient Health questionnaire (PHQ-9) is a wide-spread self-report instrument for the assessment of depression with compelling psychometric characteristics when relying on classical test theory assumptions. This study aimed at evaluating whether the PHQ-9 may be interpreted as a dimensional scale measuring depression severity in the elderly general population using Rasch analysis with special emphasis on its unidimensional structure and differential item functioning (DIF) due to gender, age, and the presence of somatic multimorbidity.",pubmed,0.822434058061422
2860,3141,Evaluating the Psychometric Properties of 3 Depression Measures in a Sample of Persons With Traumatic Brain Injury and Major Depressive Disorder.,,,The Journal of head trauma rehabilitation,10.1097/HTR.0000000000000177,Joshua R Dyer,To explore the psychometric properties of 3 widely used measures of depression in a sample of individuals with traumatic brain injury (TBI) and major depressive disorder and refine them to maximize efficiency.,pubmed,0.8168603631254394
4369,4797,Development and validation of the Rasch-based Depression Screening (DESC) using Rasch analysis and structural equation modelling.,2009-06-23 00:00:00,,Journal of behavior therapy and experimental psychiatry,10.1016/j.jbtep.2009.06.003,Thomas Forkmann,"Questionnaires for the assessment of depression benefit from modern test construction like item-response-modelling. We developed two parallel 10 item depression questionnaires, the Rasch-based Depression Screening version 1 (DESC-I) and 2 (DESC-II), by combining Rasch analysis and structural equation modelling on patient samples suffering primarily from a mental disorder or from somatic diseases. Both scales base upon a Rasch homogeneous item bank and proved unidimensionality and good model fit. Cut-off scores with good sensitivity and specificity were developed using ROC analyses. Results suggest that DESC may be appropriately used to screen for depression and may be beneficial for repeated measurements.",pubmed,0.8141225805655067
3570,3921,A comparison of depressive symptoms in stroke and primary care: applying Rasch models to evaluate the center for epidemiologic studies-depression scale.,,,Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research,,A Simon Pickard,Clinical trials and community-based studies often include the Center for Epidemiologic Studies-Depression scale (CES-D) as a measure of depression outcome. We compared responses to symptom-related items on the CES-D by depressed stroke and primary-care patients for several purposes: 1) to illustrate the use of Item Response Theory (IRT)-based (Rasch) models for comparing scale functioning across different patient subgroups; and 2) to inform clinicians and outcome researchers about scale functioning and depressive symptomatology in stroke- compared with primary care-based depression.,pubmed,0.8111540130004482
4094,4495,"Rasch model analysis of the Depression, Anxiety and Stress Scales (DASS).",2009-05-09 00:00:00,,BMC psychiatry,10.1186/1471-244X-9-21,Tracey L Shea,"There is a growing awareness of the need for easily administered, psychometrically sound screening tools to identify individuals with elevated levels of psychological distress. Although support has been found for the psychometric properties of the Depression, Anxiety and Stress Scales (DASS) using classical test theory approaches it has not been subjected to Rasch analysis. The aim of this study was to use Rasch analysis to assess the psychometric properties of the DASS-21 scales, using two different administration modes.",pubmed,0.8057451327937364
1986,2178,What neuropsychological functions best discriminate performance in adults post-stroke?,2018-04-04 00:00:00,,Applied neuropsychology. Adult,10.1080/23279095.2018.1442334,Jaqueline de Carvalho Rodrigues,"This study aimed to develop a short version of an instrument to detect cognitive impairment in stroke patients, investigate which cognitive dimensions best discriminate between stroke patients and healthy adults and to graphically analyze the relationships among the neuropsychological variables and groups. This pilot study included 94 adults (49 post-stroke and 45 neurologically healthy) who answered the Brief Neuropsychological Assessment Battery NEUPSILIN for patients with expressive aphasia (NEUPSILIN-Af) to assess orientation, perception, memory, praxis, executive functions, oral language, and academic achievement (written language and arithmetic). The IRT Rasch model for dichotomous data indicated the exclusion of items that could not be used to discriminate performances. ROC curves indicated that only the orientation, oral language, academic achievement, and executive function dimensions could be used to differentiate between the clinical and healthy groups. Graphical analysis indicated that independently of the relation among variables, orientation and executive functions tasks are essentials in the neuropsychological assessments. This study contributes to the development of specific and sensitive neuropsychological instruments to assess stroke patients and to better understand the common deficits present in this clinical population.",pubmed,0.8052694316964509
244,271,Measurement precision of the clinician administered PTSD scale (CAPS): a RASCH model analysis.,,,Journal of applied measurement,,Elizabeth J Betemps,"The Clinician Administered PTSD Scale (CAPS), originally developed as a diagnostic tool, is frequently used to evaluate treatment responses. Defining a case and measuring symptom changes are different processes that require different attributes for the instrument. Measuring symptom changes requires precision in measurement. Using the Rasch rating scale model, we evaluated this instrument for construct validity in a veteran sample. The distribution of the veteran measures did not align with the distribution of the item measures in the CAPS instrument. Separate analysis of the CAPS Frequency subscale and Intensity subscale were conducted. The Frequency subscale produced measures that encompassed the level of severity found in the veteran sample. Items from this instrument can be used to develop an equal interval scale to provide precise measurements for treatment evaluations and to identify clinical cut points for diagnostic purposes.",pubmed,0.8035142744799111
3577,3928,Preliminary study to evaluate the validity of the mini-mental state examination in a normal population in Turkey.,,,International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation,,Ayse A Küçükdeveci,"Although the Mini-Mental State Examination (MMSE) is widely used in clinical practice, normative scores for a healthy population have not been documented in Turkey. The aim in this study was to validate the MMSE in a healthy population and to provide normal scores. Internal construct validity of the Turkish version of MMSE among a preliminary sample of 406 normal people was assessed by Rasch unidimensional measurement model. Scores of the normal sample varied according to age and education but not according to sex. The data derived from this sample showed poor fit to the Rasch model (mean item fit, -2.082, SD 3.022). Only four of 11 items met model expectations. There was also differential item functioning by education and age for most items. Thus the internal construct validity of the Turkish MMSE in a normative sample could not be demonstrated by Rasch analysis. The scale failed modern psychometric criteria for scalability. We would therefore suggest other large normative MMSE data sets to be tested in terms of internal construct validity. If these findings are replicated, the validity of MMSE norms and their consequent use in clinical practice should be reconsidered.",pubmed,0.8008994379480928
123,140,Investigating the measurement properties of the social responsiveness scale in preschool children with autism spectrum disorders.,,,Journal of autism and developmental disorders,10.1007/s10803-012-1627-4,Eric Duku,"The purpose of this study was to examine the measurement properties of the Social Responsiveness Scale in an accelerated longitudinal sample of 4-year-old preschool children with the complementary approaches of categorical confirmatory factor analysis and Rasch analysis. Measurement models based on the literature and other hypothesized measurement models which were tested using categorical confirmatory factor analysis did not fit well and were not unidimensional. Rasch analyses showed that a 30-item subset met criteria of unidimensionality and invariance across item, person, and over time; and this subset exhibited convergent validity with other child outcomes. This subset was shown to have enhanced psychometric properties and could be used in measuring social responsiveness among preschool age children with Autism Spectrum Disorders.",pubmed,0.7974014620423021
4547,4992,Is the Parkinson Anxiety Scale comparable across raters?,2014-12-27 00:00:00,,Movement disorders : official journal of the Movement Disorder Society,10.1002/mds.26111,Maria João Forjaz,"The Parkinson Anxiety Scale is a new scale developed to measure anxiety severity in Parkinson's disease specifically. It consists of three dimensions: persistent anxiety, episodic anxiety, and avoidance behavior. This study aimed to assess the measurement properties of the scale while controlling for the rater (self- vs. clinician-rated) effect. The Parkinson Anxiety Scale was administered to a cross-sectional multicenter international sample of 362 Parkinson's disease patients. Both patients and clinicians rated the patient's anxiety independently. A many-facet Rasch model design was applied to estimate and remove the rater effect. The following measurement properties were assessed: fit to the Rasch model, unidimensionality, reliability, differential item functioning, item local independency, interrater reliability (self or clinician), and scale targeting. In addition, test-retest stability, construct validity, precision, and diagnostic properties of the Parkinson Anxiety Scale were also analyzed. A good fit to the Rasch model was obtained for Parkinson Anxiety Scale dimensions A and B, after the removal of one item and rescoring of the response scale for certain items, whereas dimension C showed marginal fit. Self versus clinician rating differences were of small magnitude, with patients reporting higher anxiety levels than clinicians. The linear measure for Parkinson Anxiety Scale dimensions A and B showed good convergent construct with other anxiety measures and good diagnostic properties. Parkinson Anxiety Scale modified dimensions A and B provide valid and reliable measures of anxiety in Parkinson's disease that are comparable across raters. Further studies are needed with dimension C.",pubmed,0.7931906284828794
