,Unnamed: 0,title,publication date,subject,journal,DOI,author,abstract,from_database,tfidf_score
683,1629,Factors Associated with a Delayed Autism Spectrum Disorder Diagnosis in Children Previously Assessed on Suspicion of Autism.,2021-01-03 00:00:00,,Journal of autism and developmental disorders,10.1007/s10803-020-04849-x,,"This study aimed to investigate factors associated with a delayed autism spectrum (ASD) diagnosis when compared to children with either no or early ASD diagnosis. Among 893 children assessed for ASD before age 8, 39% had no ASD at baseline, of which 21% received a later ASD diagnosis. Autism symptoms, diagnostic history of other developmental disorders, cognitive ability, and socioeconomic factors were associated with delayed ASD. Autism Diagnostic Observation Schedule (ADOS) scores in delayed ASD fell between early and no ASD. Other developmental disorders, time and clinical trends like ADOS use and low parental education distinguished delayed and early ASD, whereas higher frequency of IQ < 70 at baseline and a diagnosis of emotional disorders during follow-up distinguished delayed and no ASD.",pubmed,0.9999999999999999
900,1878,Early Detection and Diagnosis of Autism Spectrum Disorder: Why Is It So Difficult?,2020-06-24 00:00:00,,Seminars in pediatric neurology,S1071-9091(20)30042-5,,"Autism spectrum disorder (ASD) affects approximately 2% of children in the United States (US). Therapeutic interventions are most effective if applied early, yet diagnosis often remains delayed, partly because the diagnosis is based on identifying abnormal behaviors that may not emerge until the disorder is well established. Universal screening has been recommended by the America Academy of Pediatrics at 18 and 24 months yet studies show low compliance by pediatricians and the US Preventive Services Task Force does not support universal screening. To better understand the limitations of universal screening this article looks at the performance of screening tests given the prevalence of ASD. Specifically, although the sensitivity and specificity of the Modified Checklist for Autism in Toddlers, Revised with Follow-up, the de facto screening tool, exceeds 90%, the relatively low prevalence of ASD in the general population (∼2%) results in a positive predictive value of about 33%, resulting in only 1 of 3 children identified by the Modified Checklist for Autism in Toddlers, Revised with Follow-up actually having ASD. To mitigate this issue, the America Academy of Pediatrics has recently recommended the use of a Level 2 screener after failing a Level 1 screener, before referring children on for a full comprehensive evaluation for ASD. In this way, a series of screening tools are used to enrich the population of children referred for further evaluation so fewer without an ASD diagnosis are evaluated. We have developed a program to train pediatricians to utilize these instruments as well as learn to diagnose ASD so children can effectively be referred for appropriate services at the front lines. Given the current burden on the medical system with the diagnosis and evaluation of children with ASD, it is important to create efficient systems for screening children which can best identify those most likely to have ASD. Developing methods to identify those children most at risk for developing ASD, either through consideration of medical or family history or through the use of biomarkers, may be helpful in identifying the children that require increased surveillance and those that do not need screening.",pubmed,0.9578354035847207
859,1830,Characteristics of toddlers with early versus later diagnosis of autism spectrum disorder.,2020-09-26 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320959507,,"The emergence of autism symptoms in childhood is variable, with some children showing signs of autism spectrum disorder very early, and others not being identified until much later. Although most children in the United States are not diagnosed with autism spectrum disorder until preschool, at ages 3-4 years, symptoms can be reliably detected at 14 months. It is less certain how those toddlers diagnosed with autism spectrum disorder earlier versus later differ from each other clinically. This study revealed that young children diagnosed later in development, between ages 25 and 41 months, are more impaired on measures of cognitive, adaptive, and social functioning than their counterparts who are diagnosed with autism spectrum disorder earlier. All young children with autism spectrum disorder are impaired in communication to a similar degree, however. Universal autism screening at 18 months may identify toddlers with autism spectrum disorder when their symptoms are milder and more readily amenable to intervention. Repeated screening at 24 months is supported to detect those children missed by an earlier screening, who may be more severely affected. Caregivers should be encouraged to pursue diagnostic evaluation at an initial positive screening result to ensure timely diagnosis and treatment.",pubmed,0.935346402230851
312,1201,Identifying children with autism spectrum disorders in Iran using the Autism Diagnostic Interview-Revised.,2020-11-27 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320974558,,"The diagnosis of autism spectrum disorder is a challenging task. Most of the current assessment scales have been developed in the West. The present study examines the applicability of one of the most used scales (the Autism Diagnostic Interview-Revised) in a Middle-Eastern culture. Two studies were undertaken. In the first, the Autism Diagnostic Interview-Revised ratings given to 420 children with autism spectrum disorder, aged 4-11 years, and 110 typically developing children were contrasted. In Study 2, the Autism Diagnostic Interview-Revised ratings of 720 children with autism spectrum disorder were compared with those of 172 children with intellectual disabilities to find out whether the Autism Diagnostic Interview-Revised scale would discriminate between these two types of developmental disabilities. The studies confirmed the acceptability of the scale to Iranian parents and assessors. However, the summary scores used to determine whether a child was likely to have autism spectrum disorder were recalculated on the two domains of social communication and repetitive behaviours, which were identified in the statistical analyses that are recommended for the evaluation of assessment scales. Thus the translated scale with the modified domain scoring proved very suitable for identifying Iranian children with autism spectrum disorder. Having a common tool such as Autism Diagnostic Interview-Revised will strengthen the opportunities to undertake cross-cultural research into the impact of autism spectrum disorder on the child and families.",pubmed,0.9115132422700812
766,1723,Age at autism spectrum disorder diagnosis: A systematic review and meta-analysis from 2012 to 2019.,2020-11-19 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320971107,,"We currently assume that the global mean age at diagnosis of autism spectrum disorder ranges from 38 to 120 months. However, this range is based on studies from 1991 to 2012 and measures have since been introduced to reduce the age at autism spectrum disorder diagnosis. We performed a systematic review and meta-analysis (statistical analysis that combines the results of multiple scientific studies) for studies published between 2012 and 2019 to evaluate the current age at autism spectrum disorder diagnosis. We included 56 studies that reported the age at diagnosis for 40 countries (containing 120,540 individuals with autism spectrum disorder). Results showed the current mean age at diagnosis to be 60.48 months (range: 30.90-234.57 months) and 43.18 months (range: 30.90-74.70 months) for studies that only included children aged ⩽10 years. Numerous factors that may influence age at diagnosis (e.g. type of autism spectrum disorder diagnosis, additional diagnoses and gender) were reported by 46 studies, often with conflicting or inconclusive results. Our study is the first to determine the global average age at autism spectrum disorder diagnosis from a meta-analysis. Although progress is being made in the earlier detection of autism spectrum disorder, it requires our constant attention.",pubmed,0.9110116581315816
953,1940,"Timing of diagnosis, depression and self-harm in adolescents with autism spectrum disorder.",2020-08-08 00:00:00,,Autism : the international journal of research and practice,10.1177/1362361320945540,,"Children with autism spectrum disorder are at increased risk of depression and self-harming behaviours. The question of whether timing of diagnosis of autism spectrum disorder is associated with these consequences in adolescence has not yet been studied. This exploratory study aimed to explore the association between depression and self-harming behaviour in adolescence and the parent-reported timing of diagnosis for autism spectrum disorder using a large population-based cohort in the United Kingdom. Most of the children with autism spectrum disorder in our study had within-typical-range cognitive ability. We found a linear association between timing of autism spectrum disorder diagnosis and depression and self-harming behaviour in adolescence; later diagnosis of autism spectrum disorder, particularly diagnosis in adolescence, was associated with the increased risk of self-reported depressive symptoms and self-harming behaviour in adolescence among children with autism spectrum disorder. Our findings, albeit observational, suggest that interventions targeting the earlier diagnosis of autism spectrum disorder and approaches to improve person-environment fit may help prevent secondary mental health problems in this population, particularly among those without cognitive delays and those diagnosed late. Further studies replicating across a wider intellectual spectrum and clarifying the underlying mechanism are warranted.",pubmed,0.881651949634251
603,1537,Examining factors related to the age of diagnosis of children with autism spectrum disorder from immigrant and non-immigrant backgrounds in a diverse clinical sample.,2021-02-24 00:00:00,,Autism research : official journal of the International Society for Autism Research,10.1002/aur.2489,,"A timely diagnosis of autism spectrum disorder (ASD) is important for children as that may help inform the best services and supports needed for optimal outcomes. However, disparities in the identification of ASD have been consistently documented for racial/ethnic minority and immigrant populations. The majority of studies of immigrant populations have focused on the qualitative experience of ASD, however, greater knowledge about the predictors of the age of initial ASD diagnosis is needed. This study examined the child, maternal, and family-level factors that predicted the age of initial ASD diagnosis in a diverse clinical sample through a retrospective medical record review. Medical records of clinical evaluations conducted between 2004 and 2014 were reviewed for children with ASD born to immigrant and non-immigrant mothers. Regression analyses found that for both groups of children with ASD, using verbal language to communicate and having another diagnosis (attention-deficit/hyperactivity disorder or another condition) predicted an older age of initial ASD diagnosis. For children with ASD born to immigrant mothers, residing in a multilingual household was associated with a younger age of diagnosis. These results highlight the complexities of an ASD diagnosis among diverse children and families, particularly among immigrant communities. LAY SUMMARY: This research looked at predictors of when children received their first autism spectrum disorder diagnosis across children born to immigrant mothers and children born to U.S.-born mothers. Living in a multilingual home was related to a younger age of diagnosis for children of immigrant mothers; being verbal and having another diagnosis was related to an older age of diagnosis for both groups of children. This highlights the need to improve diagnostic services for diverse children.",pubmed,0.8755608369813485
678,1624,One-Year Follow-Up Diagnostic Stability of Autism Spectrum Disorder Diagnosis in a Clinical Sample of Children and Toddlers.,2021-01-01 00:00:00,,Brain sciences,37,,"Some studies show that the diagnosis of Autism Spectrum Disorder could be considered reliable and stable in children aged 18 to 24 months. Nevertheless, the diagnostic stability of early ASD diagnosis has not yet been fully demonstrated. This observational study examines the one-year diagnostic stability of autism spectrum disorder diagnosis in a clinical sample of 147 children diagnosed between 18 and 48 months of age. The ADOS-2 scores were used in order to stratify children in three levels of symptom severity: Autism (AD; comparison score 5-7), Autism Spectrum Disorder (ASD; comparison score 3-4), and Sub-Threshold Symptoms; (STS; comparison score 1-2). Results: Overall, the largest part of children and toddlers diagnosed with autism spectrum disorder between 18 and 48 months continued to show autistic symptoms at one-year follow-up evaluation. Nevertheless, a significant percentage of children with higher ADOS severity scores exhibited a reduction of symptom severity and, therefore, moved towards a milder severity class one year later. Conversely, the number of subjects of the STS group meaningfully increased. Therefore, at one-year follow-up a statistically significant (χ<sup>2</sup>(2) = 181.46, <i>p</i> < 0.0001) percentage of subjects (25.2% of the total) who had received a categorical diagnosis of Autistic Disorder or Autism Spectrum Disorder in baseline no longer met the criteria for a categorical diagnosis. Furthermore, children who no longer met the criteria for autism spectrum disorder continue to show delays in one or more neurodevelopmental areas, possibly related to the emergence of other neurodevelopmental/neuropsychiatric disorders. Overall, the comprehensive results of the study account for a high sensibility but a moderate stability of ASD early diagnosis.",pubmed,0.8571447299537273
175,1046,The Weak Link: Hypotonia in Infancy and Autism Early Identification.,2021-02-04 00:00:00,,Frontiers in neurology,10.3389/fneur.2021.612674,,"<b>Background:</b> Presenting symptoms and age specific differential diagnosis of Autism Spectrum Disorder (ASD), determine the age of initial assessment and the age of a definite diagnosis. The AAP recommends screening all children for ASD at 18 and 24 months followed by a comprehensive evaluation for children with developmental concerns. More recently it has been recommended that the evaluation should be performed at a younger age, with a diagnosis being made as early as the beginning of the second year of life resulting in earlier intensive intervention. <b>Objective:</b> To assess early developmental milestones in a cohort of children diagnosed with Autism Spectrum Disorder (ASD) in order to find an objective and reliable early marker. We suggest that low muscle tone- hypotonia, is a sign that meets the above criteria of consistency and reliability and may be related to early diagnosis. <b>Methods:</b> We compared age distributions of ASD diagnosis in the presence of hypotonia in a dataset of 5,205 children diagnosed at Keshet Center. One thousand, one hundred eighty-two children (953 males) were diagnosed with ASD and compared to other developmental diagnoses. Within the ASD cohort we further analyzed for gender and pre-maturity differences. <b>Results:</b> In the presence of hypotonia, the mean age for ASD diagnosis was significantly lower (by 1.5 years for males and females) and this effect increased in children born at term as compared to pre-maturity. <b>Conclusions:</b> Hypotonia is a recognizable marker of ASD and may serve as a ""red flag"" to prompt earlier recognition and neurodevelopmental evaluation toward an autism diagnosis.",pubmed,0.8554662818569495
126,981,Psychosocial and Behavioural Effects of the COVID-19 Pandemic on Children with Autism and their Families: A Systematic Review and Initial Data from a Multinational Online Survey,,,,10.31234/osf.io/7dwce,"{'given': 'Helene', 'family': 'Kreysa', 'sequence': 'first', 'affiliation': []}","<p>Background: Since COVID-19 has become pandemic, everyday life has seen dramatic changes affecting individuals, families, and children with and without autism. These entail, among other things, more time at home, digital forms of communication, school closures, and reduced support and intervention. Aim: Here we aim to systematically assess the effects of the pandemic on autistic and neurotypical (NT) children, and pursue a pre-registered hypothesis suggested by initial observations that some children with autism might respond comparatively well to a situation of constrained, predictable, and digital social communication during the pandemic. Methods: We provide a systematic review of current relevant work, including 76 papers selected from a database search until February 1, 2021. We then report survey data from several countries assessing activities, well-being (PedsQLTM), and social life in families with autism, and their respective change at various stages of the pandemic. We focus on differences between children with and without autism from within the same families, and on different outcomes for children with high- or low-functioning autism. Results: While children with autism scored lower in emotional and social functioning than their NT siblings, comparable decreases in well-being and increases in anxiety were seen for both groups, compared to before the pandemic. By contrast, decreases in adaptability were significantly more pronounced in autistic than NT children. Preliminary results suggest that changes were comparable for children with high- and low-functional autism overall, but individual differences prevail. Conclusions: Overall, although individual families do report some positive effects of pandemic restrictions, our data give no clear evidence that these generalize across children with autism, or even just to children with high-functioning autism. We discuss significant challenges for children with and without autism that need to be addressed to protect childrens’ well-being under pandemic conditions but also point to potential in the present situation that could be used towards social participation and success in older children and young adults with autism.</p>",crossref,0.8544759253244043
